,label
0,1
1,2
2,1
3,0
4,1
5,1
6,0
7,1
8,2
9,1
10,2
11,2
12,1
13,2
14,2
15,2
16,2
17,0
18,2
19,2
20,0
21,2
22,1
23,2
24,2
25,0
26,2
27,0
28,2
29,1
30,2
31,0
32,2
33,2
34,0
35,2
36,0
37,1
38,1
39,0
40,1
41,0
42,2
43,1
44,2
45,2
46,2
47,0
48,0
49,2
50,1
51,2
52,2
53,1
54,0
55,0
56,2
57,2
58,0
59,1
60,2
61,1
62,1
63,2
64,0
65,0
66,2
67,0
68,1
69,2
70,1
71,1
72,2
73,0
74,2
75,0
76,1
77,2
78,1
79,1
80,2
81,0
82,0
83,1
84,2
85,2
86,0
87,1
88,2
89,0
90,0
91,0
92,1
93,1
94,1
95,2
96,0
97,1
98,0
99,1
100,2
101,1
102,2
103,2
104,2
105,1
106,0
107,1
108,1
109,2
110,2
111,1
112,1
113,0
114,1
115,1
116,2
117,2
118,0
119,0
120,0
121,2
122,0
123,1
124,0
125,0
126,2
127,2
128,2
129,2
130,2
131,0
132,2
133,0
134,2
135,0
136,1
137,1
138,0
139,2
140,1
141,1
142,1
143,0
144,1
145,0
146,1
147,2
148,0
149,0
150,1
151,1
152,2
153,0
154,0
155,2
156,0
157,0
158,2
159,1
160,2
161,0
162,0
163,2
164,0
165,0
166,1
167,0
168,2
169,2
170,2
171,1
172,1
173,0
174,2
175,1
176,1
177,0
178,2
179,0
180,0
181,1
182,2
183,0
184,1
185,0
186,1
187,0
188,2
189,2
190,2
191,0
192,0
193,2
194,1
195,1
196,1
197,1
198,0
199,2
200,0
201,0
202,0
203,1
204,2
205,2
206,0
207,0
208,0
209,0
210,1
211,1
212,0
213,0
214,1
215,1
216,2
217,1
218,2
219,2
220,0
221,2
222,1
223,2
224,1
225,0
226,1
227,1
228,2
229,0
230,2
231,1
232,0
233,1
234,0
235,0
236,2
237,0
238,2
239,0
240,1
241,0
242,0
243,1
244,2
245,2
246,2
247,1
248,0
249,0
250,2
251,1
252,0
253,1
254,2
255,2
256,0
257,2
258,1
259,0
260,2
261,2
262,2
263,2
264,2
265,2
266,1
267,2
268,2
269,1
270,0
271,1
272,1
273,0
274,2
275,1
276,0
277,1
278,0
279,2
280,0
281,0
282,0
283,2
284,0
285,2
286,1
287,0
288,0
289,2
290,1
291,2
292,2
293,1
294,0
295,1
296,0
297,1
298,0
299,0
